math,eng,state,years
696,415,New Mexico,2019
334,377,Maryland,2021
318,393,Missouri,2021
680,489,Alaska,2021
520,379,Pennsylvania,2020
527,750,Rhode Island,2020
501,593,North Dakota,2021
341,619,Wisconsin,2019
356,257,Alaska,2019
355,249,Rhode Island,2019
769,753,Utah,2020
588,727,South Carolina,2020
496,517,Florida,2021
612,731,Pennsylvania,2019
359,547,Ohio,2021
754,272,Washington,2020
218,607,South Dakota,2020
742,548,Iowa,2019
243,658,New Jersey,2020
288,493,Vermont,2019
573,267,Maryland,2020
306,742,Indiana,2020
289,475,Georgia,2021
762,623,Alabama,2020
720,696,Connecticut,2020
584,515,West Virginia,2019
674,506,Utah,2019
421,654,Colorado,2021
318,210,North Carolina,2019
779,784,New Hampshire,2019
292,757,Oregon,2020
311,732,Idaho,2019
397,793,Michigan,2019
682,341,Alabama,2019
534,537,Mississippi,2019
260,428,Massachusetts,2019
357,697,Ohio,2021
252,543,Washington,2021
386,683,Montana,2020
284,675,Connecticut,2019
531,528,New York,2021
474,574,Delaware,2020
347,429,New York,2021
222,270,Missouri,2019
213,396,Texas,2019
451,370,Oregon,2019
610,600,Nebraska,2021
552,452,New York,2021
423,428,Arkansas,2019
388,430,Oregon,2019
627,580,Alabama,2021
495,426,Montana,2020
562,699,Pennsylvania,2020
486,205,Alabama,2019
288,545,Washington,2019
561,435,Virginia,2021
499,277,Alaska,2020
666,593,Mississippi,2020
677,721,Maryland,2021
268,768,Wyoming,2021
411,581,Delaware,2021
612,779,Wisconsin,2020
367,417,Tennessee,2020
762,365,Arkansas,2021
549,588,Nebraska,2020
751,795,New Mexico,2021
339,475,North Carolina,2021
434,572,West Virginia,2019
226,328,New Jersey,2021
670,781,California,2020
778,738,California,2020
202,553,Maryland,2019
283,603,New Hampshire,2021
547,716,Georgia,2021
733,791,Oregon,2020
493,363,New York,2021
699,749,Alaska,2019
261,384,Connecticut,2019
326,490,North Carolina,2019
387,770,Ohio,2021
435,557,New Mexico,2021
257,524,Massachusetts,2019
519,537,Arizona,2019
372,771,North Dakota,2019
310,602,Kansas,2021
378,747,Missouri,2019
386,663,Oregon,2019
685,217,Florida,2021
496,391,Colorado,2021
286,494,Wyoming,2021
464,426,Wyoming,2019
771,296,Mississippi,2020
502,644,Montana,2021
707,649,Oklahoma,2019
454,286,Illinois,2021
744,518,West Virginia,2020
407,343,Virginia,2019
440,777,Massachusetts,2019
573,755,Iowa,2021
281,602,Alaska,2019
592,733,Alabama,2019
460,255,Mississippi,2019
298,382,New Jersey,2021
594,491,Maryland,2019
414,723,Virginia,2021
401,633,Arizona,2020
622,513,Kansas,2019
376,223,Wyoming,2019
435,621,North Carolina,2020
356,447,New Mexico,2020
229,771,Maryland,2020
270,416,Georgia,2019
723,486,Iowa,2021
751,277,New Jersey,2021
704,377,North Dakota,2019
200,451,Nevada,2020
564,206,Missouri,2021
772,582,Massachusetts,2019
398,328,Hawaii,2021
784,218,Kansas,2020
445,744,Ohio,2021
551,205,Connecticut,2019
400,580,Connecticut,2020
341,583,California,2021
590,740,Missouri,2021
650,505,New York,2019
632,634,Arkansas,2020
300,240,New Mexico,2020
516,655,Arkansas,2020
661,766,Oklahoma,2019
721,533,Georgia,2019
372,441,Montana,2021
656,695,Connecticut,2021
250,523,Montana,2019
416,480,Nebraska,2020
671,734,Ohio,2019
762,217,Connecticut,2020
471,641,Wisconsin,2019
616,543,Texas,2020
633,279,New Mexico,2020
240,658,California,2019
451,394,North Carolina,2020
392,313,Montana,2020
363,243,Alabama,2021
407,628,Illinois,2020
463,797,Missouri,2020
311,686,Illinois,2021
516,768,Alaska,2021
593,800,North Dakota,2020
541,374,Maryland,2019
322,331,Missouri,2021
721,584,New Jersey,2021
408,288,Illinois,2019
319,652,South Dakota,2020
568,552,Connecticut,2019
224,718,Florida,2020
511,495,Arkansas,2019
315,746,New Mexico,2019
362,601,Georgia,2019
516,695,Hawaii,2019
340,446,New Mexico,2019
353,333,North Dakota,2021
279,591,Oregon,2019
644,381,Indiana,2020
560,453,Washington,2019
706,408,West Virginia,2020
789,271,North Carolina,2019
300,636,Montana,2019
796,587,Ohio,2020
784,402,South Dakota,2020
457,458,Nebraska,2019
265,667,Alaska,2021
518,496,California,2020
658,648,Mississippi,2020
499,382,Rhode Island,2019
313,414,Louisiana,2020
582,599,Florida,2021
457,503,Washington,2021
253,672,Alaska,2019
